#delimieter: ,
#columns:type,person1,person2,forum,forum_event,publication,topic,date,lat,lon
#types:STRING,UINT,UINT,UINT,UINT,UINT,UINT,USDATE,DOUBLE,DOUBLE
Publication,,,,,102583151124020340,,4/1/2013,,
Publication,,,,,1004346153600881042,,12/2/2014,,
Publication,,,,,1433303251800176474,,1/1/2014,,
Publication,,,,,963345652072941810,,3/1/2017,,
ForumEvent,,,1372844135435303981,1651365355351122204,,,1/7/2019,,
ForumEvent,,,1372844135435303981,1060309546214304182,,,1/3/2018,,
ForumEvent,,,1372844135435303981,932362105613871012,,,1/8/2018,,
ForumEvent,,,1372844135435303981,618434247743641149,,,1/8/2018,,
ForumEvent,,,1372844135435303981,1209342585680609487,,,1/10/2018,,
ForumEvent,,,1615340315424362057,1245126351375505703,,,2/13/2018,,
ForumEvent,,,1372844135435303981,581543512052485139,,,2/5/2018,,
ForumEvent,,,1314315120197156050,833681012494554358,,,3/23/2018,,
ForumEvent,,,1615340315424362057,1220295546212024391,,,3/26/2018,,
ForumEvent,,,1372844135435303981,1424263331858043042,,,4/5/2018,,
ForumEvent,,,1615340315424362057,1290121451283392110,,,4/12/2018,,
ForumEvent,,,1427292001647224242,240337224527030225,,,4/24/2018,,
ForumEvent,,,1615340315424362057,440265285168056234,,,5/17/2018,,
ForumEvent,,,1615340315424362057,817526874194673140,,,5/31/2018,,
ForumEvent,,,1314315120197156050,846536331643665114,,,6/12/2018,,
ForumEvent,,,1202482536733844323,1114502034902546550,,,6/14/2018,,
ForumEvent,,,1372844135435303981,1441762191425652442,,,7/8/2018,,
ForumEvent,,,1615340315424362057,128423416112315798,,,7/20/2018,,
ForumEvent,,,1615340315424362057,701755398615636460,,,8/1/2018,,
ForumEvent,,,1314315120197156050,393285992310638641,,,8/12/2018,,
ForumEvent,,,1615340315424362057,420762134340393550,,,9/9/2018,,
ForumEvent,,,1372844135435303981,737353170652104031,,,9/14/2018,,
ForumEvent,,,1615340315424362057,116892402526543412,,,10/13/2018,,
ForumEvent,,,1372844135435303981,1028329324575034354,,,10/20/2018,,
ForumEvent,,,1202482536733844323,1513662032452523252,,,10/30/2018,,
ForumEvent,,,1314315120197156050,803952155714850701,,,11/14/2018,,
ForumEvent,,,1372844135435303981,186108460103013588,,,11/12/2018,,
ForumEvent,,,1615340315424362057,1184855350262395542,,,12/1/2018,,
