step, time, ball.id, ball.pos.x, ball.pos.y, ball.vel.x, ball.vel.y
0, 4.073864e-02, 55, 4.345597e+01, 1.396923e+00, 4.769460e+00, 5.431259e-01
0, 4.073864e-02, 86, 4.148803e+01, 1.753600e+00, -2.204962e+00, 6.914225e+00
0, 1.008452e-01, 45, 3.097617e+01, 9.900000e+01, 1.539422e+00, -7.552276e+00
0, 1.068227e-01, 10, 5.240785e+01, 7.728804e+01, 8.000388e+00, 1.240398e+01
0, 1.068227e-01, 30, 5.058917e+01, 7.645594e+01, -3.007827e-01, 4.126692e+00
0, 1.457324e-01, 6, 1.527552e+01, 3.915237e+01, 2.097029e+00, 4.219109e+00
0, 1.457324e-01, 75, 1.403674e+01, 3.758220e+01, -1.300508e+01, -3.405027e+00
0, 1.867926e-01, 85, 9.900000e+01, 3.278824e+01, -7.951205e+00, -7.278508e+00
0, 2.201757e-01, 5, 1.000000e+00, 2.614235e+01, 7.255368e+00, 6.083535e+00
0, 2.245640e-01, 14, 7.098816e+00, 1.000000e+00, -8.459653e-01, 8.738083e+00
0, 2.292359e-01, 4, 6.165660e+01, 7.178552e+01, -7.863034e+00, -7.321594e+00
0, 2.292359e-01, 36, 6.180314e+01, 7.378015e+01, -7.435305e+00, 2.159020e+00
0, 2.412377e-01, 66, 8.057998e+01, 3.317856e+01, -8.841736e+00, 5.127648e+00
0, 2.412377e-01, 98, 8.133439e+01, 3.132631e+01, -2.503819e-01, 1.167846e+00
0, 2.445071e-01, 80, 3.312043e+01, 1.205730e+01, 5.916785e+00, 2.703875e+00
0, 2.445071e-01, 87, 3.156797e+01, 1.331820e+01, -5.953461e-02, 1.040613e+01
0, 2.498294e-01, 48, 9.900000e+01, 7.630983e+01, -8.067327e+00, 9.671915e+00
0, 3.364023e-01, 1, 8.923281e+01, 2.216470e+01, 2.281727e+00, 8.150554e+00
0, 3.364023e-01, 68, 8.744361e+01, 2.127095e+01, 2.958652e-01, -1.825121e+00
0, 3.450575e-01, 49, 6.403527e+01, 5.200880e+01, 8.605949e-01, 1.231490e+01
0, 3.450575e-01, 73, 6.243818e+01, 5.080493e+01, -8.185628e-01, -1.229625e+00
0, 3.798311e-01, 16, 3.786551e+01, 7.677851e+01, 6.348334e+00, 1.575336e+00
0, 3.798311e-01, 99, 3.594557e+01, 7.733870e+01, -2.914706e+00, -7.494312e+00
0, 4.916108e-01, 9, 4.733111e+01, 9.900000e+01, -4.149664e+00, -5.427154e+00
0, 5.901122e-01, 42, 5.522563e+01, 1.739818e+01, 5.641725e+00, -5.346219e+00
0, 5.901122e-01, 82, 5.328852e+01, 1.789580e+01, -4.718364e+00, 5.693330e+00
